["#0000000040000002#","Vicinity","",1775526628]Welcome to AnarchyOnline
["#0000000042000018#","Me Cast Nano","",1775526632]Executing Nano Program: Carlo Pinnetti.
["#0000000042000018#","Me Cast Nano","",1775526632]Nano program executed successfully.
["#0000000041000000#","Your Pets","",1775526633]Plus1's pet, Briefcase: I'll destroy anyone opposing our initiatives.
["#0000000042000018#","Me Cast Nano","",1775526634]Executing Nano Program: CEO Guardian.
["#0000000042000018#","Me Cast Nano","",1775526649]Nano program aborted.
["#0000000042000006#","Me hit by monster","",1775526650]Someone's reflect shield hit you for 49 points of damage.
["#0000000042000002#","Me hit by nano","",1775526650]You were attacked with nanobots for 259 points of energy damage.
["#0000000041000000#","Your Pets","",1775526650]Plus1's pet, Sword: Hello master. I'm ready to obey your commands...
["#0000000042000015#","Me got health","",1775526650]You were healed for 304 points.
["#0000000042000018#","Me Cast Nano","",1775526652]Executing Nano Program: Improved Cut Red Tape.
["#0000000042000018#","Me Cast Nano","",1775526652]Nano program executed successfully.
["#0000000042000015#","Me got health","",1775526653]You were healed for 4 points.
["#0000000042000018#","Me Cast Nano","",1775526653]Executing Nano Program: Character Assassin.
["#0000000042000018#","Me Cast Nano","",1775526653]Nano program executed successfully.
["#0000000041000000#","Your Pets","",1775526655]Plus1's pet, Briefcase: I'll be right behind you.  Don't answer any questions.
["#0000000041000000#","Your Pets","",1775526655]Plus1's pet, Sword: I will follow you wherever you go, master.
["#0000000040000001#","System","",1775526656]Attacked by Masked Commando!
["#0000000042000018#","Me Cast Nano","",1775526657]Executing Nano Program: Corporate Strategy.
["#0000000042000018#","Me Cast Nano","",1775526657]Nano program executed successfully.
["#0000000042000018#","Me Cast Nano","",1775526660]Executing Nano Program: Droid Pressure Matrix.
["#0000000042000018#","Me Cast Nano","",1775526660]Nano program executed successfully.
["#0000000042000018#","Me Cast Nano","",1775526662]Executing Nano Program: Droid Damage Matrix.
["#0000000042000018#","Me Cast Nano","",1775526662]Nano program executed successfully.
["#0000000042000018#","Me Cast Nano","",1775526664]Executing Nano Program: Nanite Robot Protection.
["#0000000042000018#","Me Cast Nano","",1775526664]Nano program executed successfully.
["#0000000042000018#","Me Cast Nano","",1775526667]Executing Nano Program: Greater Corporate Insurance Policy.
["#0000000042000018#","Me Cast Nano","",1775526667]Nano program executed successfully.
["#0000000040000001#","System","",1775526670]Reloading...
["#0000000040000001#","System","",1775526671]Reloading completed
["#0000000040000001#","System","",1775526673]Reloading...
["#0000000040000001#","System","",1775526674]Reloading completed
["#0000000040000001#","System","",1775526674]Peh'Wer Pistol is already fully loaded.
